[E 250308 04:30:10 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid date or time format. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '38:87:d5:cb:47:2d', 'Accept': 'application/json', 'X-PrivateKey': 'DfqxqRnd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '2885', 'interval': 'ONE_DAY', 'fromdate': '2025-03-08 00:00:00', 'todate': '2025-03-08 23:59:59'}, Response: {'message': 'Invalid date or time format', 'errorcode': 'AB13000', 'status': False, 'data': None}
[E 250308 04:31:43 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid date or time format. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '38:87:d5:cb:47:2d', 'Accept': 'application/json', 'X-PrivateKey': 'DfqxqRnd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '2885', 'interval': 'ONE_DAY', 'fromdate': '2025-03-07 00:00:00', 'todate': '2025-03-08 00:00:00'}, Response: {'message': 'Invalid date or time format', 'errorcode': 'AB13000', 'status': False, 'data': None}
[E 250308 04:32:00 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid date or time format. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '38:87:d5:cb:47:2d', 'Accept': 'application/json', 'X-PrivateKey': 'DfqxqRnd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '2885', 'interval': 'ONE_DAY', 'fromdate': '2025-03-07 00:00:00', 'todate': '2025-03-08 00:00:00'}, Response: {'message': 'Invalid date or time format', 'errorcode': 'AB13000', 'status': False, 'data': None}
[E 250308 04:33:29 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid date or time format. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '38:87:d5:cb:47:2d', 'Accept': 'application/json', 'X-PrivateKey': 'DfqxqRnd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '2885', 'interval': 'ONE_DAY', 'fromdate': '2025-03-07 00:00:00', 'todate': '2025-03-08 00:00:00'}, Response: {'message': 'Invalid date or time format', 'errorcode': 'AB13000', 'status': False, 'data': None}
[E 250308 04:34:58 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid date or time format. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '38:87:d5:cb:47:2d', 'Accept': 'application/json', 'X-PrivateKey': 'DfqxqRnd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '2885', 'interval': 'ONE_DAY', 'fromdate': '2025-03-07 00:00:00', 'todate': '2025-03-08 00:00:00'}, Response: {'message': 'Invalid date or time format', 'errorcode': 'AB13000', 'status': False, 'data': None}
[E 250308 04:36:25 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid date or time format. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '38:87:d5:cb:47:2d', 'Accept': 'application/json', 'X-PrivateKey': 'DfqxqRnd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '2885', 'interval': 'ONE_DAY', 'fromdate': '2025-03-07 00:00:00', 'todate': '2025-03-08 00:00:00'}, Response: {'message': 'Invalid date or time format', 'errorcode': 'AB13000', 'status': False, 'data': None}
[E 250308 04:42:07 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid date or time format. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '38:87:d5:cb:47:2d', 'Accept': 'application/json', 'X-PrivateKey': 'DfqxqRnd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '2885', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2024-12-08 04:42:05', 'todate': '2025-03-08 04:42:05'}, Response: {'message': 'Invalid date or time format', 'errorcode': 'AB13000', 'status': False, 'data': None}
[E 250308 04:42:09 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid date or time format. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '38:87:d5:cb:47:2d', 'Accept': 'application/json', 'X-PrivateKey': 'DfqxqRnd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '11536', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2024-12-08 04:42:07', 'todate': '2025-03-08 04:42:07'}, Response: {'message': 'Invalid date or time format', 'errorcode': 'AB13000', 'status': False, 'data': None}
[E 250308 04:42:10 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid date or time format. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '38:87:d5:cb:47:2d', 'Accept': 'application/json', 'X-PrivateKey': 'DfqxqRnd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '1594', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2024-12-08 04:42:09', 'todate': '2025-03-08 04:42:09'}, Response: {'message': 'Invalid date or time format', 'errorcode': 'AB13000', 'status': False, 'data': None}
[E 250308 04:57:09 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid date or time format. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '38:87:d5:cb:47:2d', 'Accept': 'application/json', 'X-PrivateKey': 'DfqxqRnd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '2885', 'interval': 'FIVE_MINUTE', 'fromdate': '2025-01-07 04:57:08', 'todate': '2025-03-08 04:57:08'}, Response: {'message': 'Invalid date or time format', 'errorcode': 'AB13000', 'status': False, 'data': None}
[E 250308 04:57:11 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Invalid date or time format. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '38:87:d5:cb:47:2d', 'Accept': 'application/json', 'X-PrivateKey': 'DfqxqRnd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '11536', 'interval': 'FIVE_MINUTE', 'fromdate': '2025-01-07 04:57:11', 'todate': '2025-03-08 04:57:11'}, Response: {'message': 'Invalid date or time format', 'errorcode': 'AB13000', 'status': False, 'data': None}
